jobsearch,yrwish,wishhr,wishsalary,jobgradu,liveexp,schooltype,majorcate,age,intern,toeic,tosp,train,jobseek,cert,midJobCate
2,2,0,0,2,1,1,1,23,0,0,0,0,1,0,20
1,2,3,2400,2,-1,1,1,21,0,0,0,240,1,0,0
2,2,0,0,2,3,1,1,21,0,800,0,0,0,1,9
2,2,0,0,2,1,1,1,25,0,0,0,0,0,0,18
2,2,0,0,2,1,1,1,21,0,0,0,0,1,1,23
2,2,0,0,2,1,1,1,25,0,0,0,0,0,1,2
2,2,0,0,1,1,1,1,24,0,0,0,8,1,2,2
2,2,0,0,2,1,1,1,26,0,0,0,0,0,2,24
2,2,0,0,1,1,1,2,25,0,0,0,0,0,0,23
2,2,0,0,2,1,1,2,21,0,0,0,8,0,3,23
2,2,0,0,2,1,1,2,25,0,0,0,0,0,0,2
2,2,0,0,2,1,1,2,22,0,0,0,0,1,0,18
2,2,0,0,2,1,1,2,25,0,0,0,0,0,0,2
2,2,0,0,2,1,1,2,22,0,0,0,0,0,0,23
2,2,0,0,1,1,1,2,22,0,0,0,0,0,4,2
2,2,0,0,2,1,1,3,22,1,750,3,8,1,1,23
2,2,2,1800,1,-1,1,3,23,0,960,0,0,0,0,0
2,2,0,0,1,-1,1,3,22,0,0,0,0,1,1,0
2,2,0,0,2,1,1,3,23,0,810,0,0,1,1,9
2,2,0,0,1,-1,1,4,26,0,650,0,0,0,0,0
2,2,0,0,1,1,1,5,24,0,0,0,0,0,3,18
2,2,2,2500,2,-1,1,5,21,0,0,0,0,0,0,0
2,2,0,0,1,1,1,5,21,0,0,0,0,1,0,15
2,2,3,3000,1,-1,1,5,24,0,0,0,0,0,0,0
2,2,0,0,1,1,1,5,23,0,0,0,30,0,1,2
1,1,2,2400,1,-1,1,5,25,0,0,0,0,1,1,0
2,2,0,0,2,-1,1,5,24,0,0,0,4,1,0,0
2,1,2,2900,1,-1,1,5,26,0,0,0,0,0,0,0
2,2,0,0,1,1,1,6,23,0,0,0,0,0,1,23
2,2,0,0,2,1,1,6,25,0,0,0,24,0,1,23
2,2,0,0,2,1,1,6,22,1,700,0,0,0,2,23
2,2,0,0,1,1,1,7,21,0,0,0,0,1,1,2
2,2,0,0,1,-1,1,7,22,0,0,0,100,1,2,0
2,2,0,0,1,1,1,7,25,0,0,0,0,0,0,23
2,2,0,0,2,1,1,7,36,0,0,0,0,0,2,12
2,2,0,0,2,1,1,7,22,0,0,0,0,0,6,2
1,1,2,2600,1,-1,1,7,23,0,0,0,0,0,1,0
1,1,2,2400,2,-1,1,8,21,0,0,0,0,0,0,0
2,2,0,0,2,1,1,8,26,0,0,0,0,0,1,9
2,1,1,2000,2,-1,1,8,24,0,0,0,0,1,1,0
2,2,0,0,2,1,1,8,54,0,0,0,0,0,0,23
2,2,0,0,1,1,1,9,22,0,0,0,0,1,1,23
2,2,0,0,2,1,1,9,52,0,0,0,200,0,0,28
2,2,0,0,2,1,1,9,33,0,0,0,0,0,5,2
2,2,0,0,2,1,1,9,23,0,0,0,0,1,1,3
2,2,0,0,2,1,1,10,24,0,600,0,0,1,0,2
2,2,0,0,2,1,1,10,23,0,0,0,0,0,1,2
2,2,0,0,2,1,1,10,23,0,0,0,0,0,0,19
2,2,0,0,2,1,1,10,28,0,0,0,0,0,1,2
2,2,0,0,1,1,1,10,22,0,0,0,0,0,0,2
